symbol
AAKASH
AARON
AARTISURF
AARVI
ACCURACY
ACRYSIL
ADL
AHLADA
AJOONI 
AKG 
ALOKINDS
AMBICAAGAR 
ANDHRAPAP 
ANGELBRKG 
ANMOL
ANURAS 
APOLLOPIPE 
ARIHANTCAP was fail to insert in database
ARTEMISMED was fail to insert in database
ARVEE was fail to insert in database
ASALCBR was fail to insert in database
ATGL was fail to insert in database
AWHCL was fail to insert in database
BAFNAPH was fail to insert in database
BANKA was fail to insert in database
BARBEQUE was fail to insert in database
BCLIND was fail to insert in database
BECTORFOOD was fail to insert in database
BESTAGRO was fail to insert in database
BIRLATYRE was fail to insert in database
BOROLTD was fail to insert in database
BORORENEW was fail to insert in database
BSHSL was fail to insert in database
BURGERKING was fail to insert in database
CAMS was fail to insert in database
CCCL was fail to insert in database
CHEMBOND was fail to insert in database
CHEMCON was fail to insert in database
CLSEL was fail to insert in database
COFORGE was fail to insert in database
COX&KINGS was fail to insert in database
CRAFTSMAN was fail to insert in database
CSBBANK was fail to insert in database
DALALSTCOM was fail to insert in database
DANGEE was fail to insert in database
DEEPENR was fail to insert in database
DEEPINDS was fail to insert in database
DHANI was fail to insert in database
DPABHUSHAN was fail to insert in database
DPWIRES was fail to insert in database
DRCSYSTEMS was fail to insert in database
EASEMYTRIP was fail to insert in database
EBIXFOREX was fail to insert in database
EPL was fail to insert in database
EQUITASBNK was fail to insert in database
FAIRCHEMOR was fail to insert in database
GEEKAYWIRE was fail to insert in database
GENCON was fail to insert in database
GET&D was fail to insert in database
GLAND was fail to insert in database
GLOBAL was fail to insert in database
GLOBE was fail to insert in database
GODHA was fail to insert in database
GOODYEAR was fail to insert in database
GUJRAFFIA was fail to insert in database
HAPPSTMNDS was fail to insert in database
HEMIPROP was fail to insert in database
HERANBA was fail to insert in database
HLEGLAS was fail to insert in database
HLVLTD was fail to insert in database
HOMEFIRST was fail to insert in database
HUHTAMAKI was fail to insert in database
ICEMAKE was fail to insert in database
IL&FSENGG was fail to insert in database
IL&FSTRANS was fail to insert in database
IMAGICAA was fail to insert in database
In [ ]:
INCREDIBLE was fail to insert in database
INDIGOPNTS was fail to insert in database
INDUSTOWER was fail to insert in database
INFOMEDIA was fail to insert in database
IRFC was fail to insert in database
IRISDOREME was fail to insert in database
ISGEC was fail to insert in database
IWEL was fail to insert in database
J&KBANK was fail to insert in database
JASH was fail to insert in database
JSWISPL was fail to insert in database
JUBLINGREA was fail to insert in database
JUBLPHARMA was fail to insert in database
JYOTISTRUC was fail to insert in database
KALYANI was fail to insert in database
KALYANKJIL was fail to insert in database
KANPRPLA was fail to insert in database
KAPSTON was fail to insert in database
KEERTI was fail to insert in database
KHAICHEM was fail to insert in database
KIRLFER was fail to insert in database
L&TFH was fail to insert in database
LCCINFOTEC was fail to insert in database
LIKHITHA was fail to insert in database
LODHA was fail to insert in database
LXCHEM was fail to insert in database
M&M was fail to insert in database
M&MFIN was fail to insert in database
MACPOWER was fail to insert in database
MAHAPEXLTD was fail to insert in database
MAHEPC was fail to insert in database
MARINE was fail to insert in database
MASKINVEST was fail to insert in database
MAXHEALTH was fail to insert in database
MAXIND was fail to insert in database
MAZDOCK was fail to insert in database
MCL was fail to insert in database
MGEL was fail to insert in database
MITTAL was fail to insert in database
MMP was fail to insert in database
MODIRUBBER was fail to insert in database
MODISNME was fail to insert in database
MOKSH was fail to insert in database
MTARTECH was fail to insert in database
NAM-INDIA was fail to insert in database
NAZARA was fail to insert in database
NDRAUTO was fail to insert in database
NIRAJ was fail to insert in database
NIRAJISPAT was fail to insert in database
NITIRAJ was fail to insert in database
NOVARTIND was fail to insert in database
NURECA was fail to insert in database
NXTDIGITAL was fail to insert in database
OMINFRAL was fail to insert in database
ORCHPHARMA was fail to insert in database
ORTINLAB was fail to insert in database
PANACHE was fail to insert in database
PBAINFRA was fail to insert in database
POWERINDIA was fail to insert in database
PRINCEPIPE was fail to insert in database
PRIVISCL was fail to insert in database
PROINDIA was fail to insert in database
RAILTEL was fail to insert in database
RAJMET was fail to insert in database
RAJRATAN was fail to insert in database
REPL was fail to insert in database
RKEC was fail to insert in database
ROML was fail to insert in database
ROSSARI was fail to insert in database
ROUTE was fail to insert in database
RPSGVENT was fail to insert in database
RTNINDIA was fail to insert in database
RUCHI was fail to insert in database
RVHL was fail to insert in database
S&SPOWER was fail to insert in database
SBICARD was fail to insert in database
SECURKLOUD was fail to insert in database
SHAREINDIA was fail to insert in database
SHIL was fail to insert in database
SHRADHA was fail to insert in database
SHRIPISTON was fail to insert in database
SILGO was fail to insert in database
SILLYMONKS was fail to insert in database
SINTERCOM was fail to insert in database
SMCGLOBAL was fail to insert in database
SRPL was fail to insert in database
STLTECH was fail to insert in database
STOVEKRAFT was fail to insert in database
SUBCAPCITY was fail to insert in database
SUBEXLTD was fail to insert in database
SUMICHEM was fail to insert in database
SUPREMEENG was fail to insert in database
SURANAT&P was fail to insert in database
SURYODAY was fail to insert in database
SUULD was fail to insert in database
SUVENPHAR was fail to insert in database
SUVIDHAA was fail to insert in database
TARC was fail to insert in database
TATACONSUM was fail to insert in database
TEMBO was fail to insert in database
TIRUPATIFL was fail to insert in database
TOTAL was fail to insert in database
TOUCHWOOD was fail to insert in database
UJJIVANSFB was fail to insert in database
UNIDT was fail to insert in database
UNIVASTU was fail to insert in database
UNIVPHOTO was fail to insert in database
UTIAMC was fail to insert in database
VAISHALI was fail to insert in database
VALIANTORG was fail to insert in database
VECO-RE was fail to insert in database
VERTOZ was fail to insert in database
VIKASLIFE was fail to insert in database
VINEETLAB was fail to insert in database
WEALTH was fail to insert in database
WIPL was fail to insert in database
WORTH was fail to insert in database
YAARII was fail to insert in database
ZYDUSWELL was fail to insert in database

?
